TF	NES	size	p.value	FDR
TBX15	1.78608388344787	9	0.0740856772410618	0.806549546739809
ESRRG	-1.78297810422171	38	0.0745898676603474	0.806549546739809
EOMES	-1.78170590656364	17	0.0747972031917115	0.806549546739809
NAB2	1.77996142372541	18	0.0750822741352993	0.806549546739809
ZNF563	-1.77808208820776	6	0.0753903737968618	0.806549546739809
HHEX	1.77746203592381	15	0.075492251767735	0.806549546739809
ZBTB40	1.77572448163973	21	0.0757783401908073	0.806549546739809
CHD3	1.77054986080857	16	0.0766355859733164	0.806549546739809
ZNF536	-1.7699911603754	78	0.0767286132982562	0.806549546739809
MAFB	1.76351443703187	67	0.0778137645230484	0.806549546739809
ZNF331	-1.76323567715159	4	0.0778607488287769	0.806549546739809
ZNF174	-1.76280028643641	6	0.0779341791015145	0.806549546739809
SHOX	-1.76165026616435	47	0.0781284055328429	0.806549546739809
ZNF420	-1.75993263106217	4	0.0784192298389959	0.806549546739809
ZBTB47	1.75781886059865	40	0.0787783351438641	0.806549546739809
SOX30	-1.75774285283435	94	0.0787912728677322	0.806549546739809
LMX1A	-1.75243102088105	37	0.0796997212506313	0.806549546739809
MSC	1.74980301313221	48	0.0801523105844891	0.806549546739809
TP63	1.74479834596019	14	0.0810199768448216	0.806549546739809
HBP1	1.74200766214672	37	0.0815071035338997	0.806549546739809
SOX1	-1.7397985400674	30	0.0818943989391791	0.806549546739809
MRTFA	1.73840313228688	63	0.0821398051693399	0.806549546739809
ZSCAN4	1.73728770463477	46	0.0823364007163975	0.806549546739809
SSBP3	1.73614928875612	19	0.0825374411766807	0.806549546739809
PER3	1.73323309803732	1	0.0830542464138692	0.806549546739809
ZNF273	-1.72601658265425	2	0.0843444294893234	0.806549546739809
NFATC3	1.72597101404906	31	0.0843526275723391	0.806549546739809
SBNO2	1.72190514973091	35	0.0850867019638568	0.806549546739809
ZIC3	1.71886070751245	24	0.0856397382838729	0.806549546739809
FEZF1	1.71786572502102	19	0.0858211098533143	0.806549546739809
HOXA3	1.71491006697407	46	0.0863617166711093	0.806549546739809
