TF	NES	p_value	FDR	regulon_size	logFC	AveExpr	t	P.Value	adj.P.Val	B	category
ATF7IP2	0.59133642697809	0.554295026989132	0.704402251689295	83	0.228599816338594	2.96522276665682	3.47315835948219	0.000535934790360437	0.000773033902591012	-2.09891780928	Non-Significant
ATMIN	-0.897937386806134	0.369218931262475	0.533490065934339	47	-0.13388009491961	6.08921751090309	-4.83238492671575	1.5558401838948e-06	2.78683770709577e-06	3.1157721505504	Non-Significant
ATOH1	-0.338189472793849	0.73522040847939	0.842251374999346	170	0.240710949333572	-5.82425874759987	2.40277699739593	0.0164486766509478	0.0207633184786074	-5.11857877590173	Non-Significant
ATOH7	-1.6868232686965	0.0916373398291654	0.212530052763994	98	-0.818176056602584	-3.13311074802329	-7.25122857290974	8.14612739245769e-13	3.41299994748719e-12	17.9673964420469	VIPER Significant
ATOH8	3.31237775202959	0.000925065452293363	0.013906466143899	81	2.50314620920494	2.77760287520437	21.1297495659749	1.67822025485441e-82	9.074758424498e-81	177.089902501042	LUAD
ATP1B4	-0.999960599480426	0.317329575783085	0.479155949854016	533	0.0179821698029607	-5.78572940877136	0.256683416153563	0.797474869904941	0.815268176394993	-7.94500827887985	Non-Significant
ATXN1	0.496904959374994	0.619256074082278	0.761417023781455	45	0.025087885759063	5.61598841215864	0.607299561940576	0.54378711590215	0.572880868952066	-8.19473011004091	Non-Significant
ATXN1L	-0.383718748195621	0.701186915384102	0.819691569707477	67	-0.136742142506449	5.59641631867732	-3.70943019514042	0.000218916785715252	0.000326029817925977	-1.53980808233548	Non-Significant
ATXN7L3	-1.48826075997551	0.136682139077452	0.274168290737713	40	-0.204962072231327	6.44630891003079	-7.01377728469648	4.21531679684429e-12	1.40495586812151e-11	15.5581328800404	Non-Significant
BACH1	-1.30119908394396	0.193190318761173	0.344609757790201	58	-0.173212272776751	5.73085389642973	-4.36254175030682	1.41603225432641e-05	2.33511526425217e-05	1.04025233619325	Non-Significant
BACH2	-3.272696514056	0.00106526791260448	0.0142453473803187	61	-0.94426137962674	2.19962044822012	-12.0647267907168	1.98469867713041e-31	2.00859482775594e-30	60.0077431606298	LUSC
BAHD1	-0.0445373080608631	0.964476113936392	0.980648743341967	33	0.0478825761518239	5.01485630094804	1.28517526925128	0.199022395514679	0.223169309550556	-7.48551881192493	Non-Significant
BARHL1	0.191348164068378	0.848252828678417	0.914878907472874	278	0.133098595946806	-6.02579488766725	2.11392626958038	0.0347634706844049	0.0424975062199072	-5.86847473553754	Non-Significant
BARHL2	-1.91468790728105	0.0555323166823764	0.152568436312684	133	0.0148805263781434	-5.75838581950649	0.151362096911	0.879719977499923	0.890934049709231	-7.95338144859849	Non-Significant
BARX1	-0.324340052284495	0.745680599832581	0.849478010722417	82	-1.33661335819915	0.67184752862186	-5.90045629185934	4.92599753153226e-09	1.12851678992432e-08	9.2353029621009	VIPER Significant
BARX2	-0.361639324998465	0.717621573779778	0.831285547638234	113	0.0167153384309356	2.29619596036289	0.10925906176719	0.913018478100149	0.921563100381438	-8.02333018917473	Non-Significant
BASP1	-0.0380205845580876	0.969671269788772	0.984100901779676	122	-0.127279466511903	5.91754698381046	-1.41595093302794	0.157094746598841	0.178533007709344	-7.41235734353891	Non-Significant
BATF	2.44399284529693	0.0145257146003558	0.0612775506645938	61	1.30294710359685	2.85465152985834	17.7115320835423	2.02957030730817e-61	5.84640206749406e-60	128.683697901481	VIPER Significant
BATF2	2.33768601576561	0.0194035421364873	0.0747639307179908	99	1.16797651561012	3.09014828419348	14.7584048407058	7.94527319924552e-45	1.32184700563148e-43	90.6099077911651	VIPER Significant
BATF3	2.56458148657284	0.0103300320113984	0.0487770737248618	133	0.736227799436501	1.52357084271272	10.618268644128	4.69215832254212e-25	3.68544663803477e-24	45.5033859488874	LUAD
BAZ1A	1.29188597449839	0.1963966355766	0.346892008666318	41	-0.0158725971306788	6.24790497367507	-0.388320737666716	0.697859618533748	0.72123447506313	-8.37812907387641	Non-Significant
BBX	-2.82018668220581	0.00479957184536734	0.0274299552950323	43	-0.310112519996878	5.97263323953192	-8.00126156532448	3.32543083497172e-15	1.63349626574528e-14	22.6412618991517	LogFC Non-Significant
BCL11A	-3.67927522472254	0.000233897739337317	0.0111506849976282	161	-2.16210126155667	3.96500101954949	-24.2151608668735	9.85500638569981e-103	9.50736143641205e-101	223.501693206133	LUSC
BCL11B	-3.68067836074791	0.000232614278629792	0.0111506849976282	82	-1.5191147821629	3.21099042193672	-16.8730634989497	1.56287400037268e-56	3.85221539693685e-55	117.445237625617	LUSC
BCL3	0.297087683929087	0.766399566922868	0.86156786479351	85	-0.0394689542289199	6.23804206298306	-0.786833124537335	0.431562091001226	0.462031425775202	-8.1427537811311	Non-Significant
BCL6	-2.84229310442994	0.00447902921604567	0.0263336028046823	53	-0.331575964133226	6.26863833583258	-7.47500293041816	1.65715676684937e-13	7.32682502667642e-13	18.7586000237431	LogFC Non-Significant
BCL6B	1.74836087511375	0.0804015582464907	0.194216751088926	87	0.611388204462174	3.22464743258345	11.0364476209616	7.81149681541824e-27	6.59582013711083e-26	49.4174219774797	VIPER Significant
BCL9	2.53695336491697	0.0111821849083923	0.0514341055078498	30	0.482422017842431	5.35801635734887	10.2649526950984	1.35524809148937e-23	1.00072475562797e-22	41.8110962193164	Non-Significant
BCL9L	0.910741210619604	0.362431744865835	0.526309456816497	87	0.309125642579638	6.06520628982864	5.4392965342826	6.6941099367697e-08	1.36068843621704e-07	6.15838727101098	Non-Significant
BCLAF1	-0.322794265554035	0.746851056160289	0.849990937457664	43	-0.0487561005633391	6.77688366670467	-1.88496059737727	0.0597188642941247	0.07114473765425	-6.74348600631686	Non-Significant
BCLAF3	3.05268054622128	0.00226807246438382	0.0190966101322193	102	0.549447894674938	3.59642974354116	13.6505539675542	4.3036027880082e-39	5.8577691910894e-38	77.429723038528	LUAD
BCOR	0.640717991766152	0.521705922598266	0.677290810682775	15	0.296460464991951	5.45972728509133	6.80345280341391	1.73713080107492e-11	5.39890550261384e-11	14.2829141356487	Non-Significant
BCORL1	-1.79248615497289e-05	0.999985698029716	0.999985698029716	21	0.0980446791124612	4.50511274592731	2.11059209607527	0.0350499897528936	0.0428327899205249	-6.03192917166931	Non-Significant
BCORP1	-1.01387988100318	0.31064007257061	0.472295405371852	161	-1.01439156699634	-3.14831534149034	-5.63389568098431	2.27749044673805e-08	4.85418638470346e-08	7.97495982081816	VIPER Significant
BEND3	-1.39468592125289	0.16311057223531	0.311309916784929	14	-0.195115189842984	3.27442958014373	-4.57456371017987	5.35755995684755e-06	9.16094448839281e-06	2.23226546786133	Non-Significant
BEND5	-0.996040102299074	0.319230660776489	0.48060774977829	147	-0.0269968602478572	1.1949618353775	-0.300089422258914	0.764170012227628	0.784337057922438	-7.87833409052483	Non-Significant
BHLHA15	2.48471278677367	0.012965599483913	0.0566829413335169	77	1.16523921496499	2.4775125067091	12.5818952261857	7.45747220636265e-34	8.2697369062794e-33	65.5316833338086	VIPER Significant
BHLHA9	-0.84682858646634	0.397090672024706	0.562772102347587	271	0.0114960404399077	-6.09233564916681	0.176169805128953	0.860195465121027	0.873214258481188	-8.11613389696717	Non-Significant
BHLHE22	1.23593571377509	0.216482460494904	0.372204297624012	52	0.571496535825693	0.530416886647935	7.18991990442999	1.25097305234168e-12	5.13515062385225e-12	17.3403209704224	VIPER Significant
BHLHE23	-0.661648560164511	0.508196478580884	0.666312368929929	229	0.0697433063509422	-6.43164427162935	1.58481159691102	0.113318700326649	0.130928770935797	-7.03630603313872	Non-Significant
BHLHE40	-0.609535661103533	0.54216944283943	0.694529102219633	72	0.0141768941372655	7.93689649848502	0.263949288495384	0.791872241555693	0.810125872795245	-8.63144350984154	Non-Significant
