dataset	canonical_drug
PRISM	CID:439530
PRISM	CID:23223059
PRISM	CID:135565082
PRISM	CID:32874
PRISM	CID:11719003
PRISM	CID:24856041
PRISM	CID:25227462
PRISM	CID:6323266
PRISM	CID:23116322
PRISM	CID:47510
PRISM	CID:123831
PRISM	CID:25033539
PRISM	CID:11188409
PRISM	CID:56650312
PRISM	CID:76707
PRISM	CID:45375953
PRISM	CID:135400182
PRISM	CID:119245
PRISM	CID:17755052
PRISM	CID:656630
PRISM	CID:6918736
PRISM	CID:197033
PRISM	CID:23642227
PRISM	CID:9926054
PRISM	CID:12449
PRISM	CID:3035714
PRISM	CID:276389
PRISM	CID:387447
PRISM	CID:121926
PRISM	CID:46944259
PRISM	CID:11351021
PRISM	CID:119182
PRISM	CID:13342
PRISM	CID:5790
PRISM	CID:7347
PRISM	CID:25124816
PRISM	CID:25167777
PRISM	CID:3661
PRISM	CID:6444692
PRISM	CID:5282452
PRISM	CID:71521142
PRISM	CID:126565
PRISM	CID:10219
PRISM	CID:71729975
PRISM	CID:57748689
PRISM	CID:11507802
PRISM	CID:2082
PRISM	CID:10639
PRISM	CID:148121
PRISM	CID:9967941
PRISM	CID:3218
PRISM	CID:49806720
PRISM	CID:3387354
PRISM	CID:15551229
PRISM	CID:25227436
PRISM	CID:99280
PRISM	CID:5281104
PRISM	CID:60871
PRISM	CID:4996
PRISM	CID:36314
PRISM	CID:25051
PRISM	CID:5280805
PRISM	CID:11317439
PRISM	CID:46940575
PRISM	CID:9547243
PRISM	CID:50248
PRISM	CID:11984591
PRISM	CID:46740
PRISM	CID:46943432
PRISM	CID:5328940
PRISM	CID:11442891
PRISM	CID:10366136
PRISM	CID:3894573
PRISM	CID:10096043
PRISM	CID:5352062
PRISM	CID:11414799
PRISM	CID:5494449
PRISM	CID:11497983
PRISM	CID:71721648
PRISM	CID:25154041
PRISM	CID:24737642
PRISM	CID:9868037
PRISM	CID:71481097
PRISM	CID:11548630
PRISM	CID:6918848
PRISM	CID:447043
PRISM	CID:5351387
PRISM	CID:154272
PRISM	CID:1549000
PRISM	CID:16038120
PRISM	CID:6918155
PRISM	CID:11972519
PRISM	CID:2722
PRISM	CID:667530
PRISM	CID:11364421
PRISM	CID:11700696
PRISM	CID:60809
PRISM	CID:56846693
PRISM	CID:5351362
PRISM	CID:6215
PRISM	CID:4781
PRISM	CID:26604442
PRISM	CID:6918638
PRISM	CID:24202429
PRISM	CID:9878
PRISM	CID:11494412
PRISM	CID:5456
PRISM	CID:5906
PRISM	CID:3598
PRISM	CID:56671814
PRISM	CID:1401
PRISM	CID:56649450
PRISM	CID:6918295
PRISM	CID:5029
PRISM	CID:44137675
PRISM	CID:107985
PRISM	CID:26596
PRISM	CID:46907787
PRISM	CID:5420804
PRISM	CID:9938544
PRISM	CID:11476171
PRISM	CID:3033769
PRISM	CID:44195571
PRISM	CID:46885626
PRISM	CID:11514721
PRISM	CID:3197
PRISM	CID:68165256
PRISM	CID:16684434
PRISM	CID:44219749
PRISM	CID:400169
PRISM	CID:2391
PRISM	CID:5391
PRISM	CID:11180808
PRISM	CID:135566652
PRISM	CID:443872
PRISM	CID:59174488
PRISM	CID:6450551
PRISM	CID:66826
PRISM	CID:16126898
PRISM	CID:5360807
PRISM	NAME:C
PRISM	CID:135931707
PRISM	CID:148124
PRISM	CID:3885
PRISM	CID:42642648
PRISM	CID:44224257
PRISM	CID:11955716
PRISM	CID:5746
PRISM	CID:16041424
PRISM	CID:11488320
PRISM	CID:25262965
PRISM	CID:9826308
PRISM	CID:44224160
PRISM	CID:54613769
PRISM	CID:135413533
PRISM	CID:216468
PRISM	CID:6604471
PRISM	CID:9826528
PRISM	CID:2802
PRISM	CID:2577
PRISM	CID:49846579
PRISM	CID:24748204
PRISM	CID:3101
PRISM	CID:3948
PRISM	CID:4122
PRISM	CID:9782
PRISM	CID:447865
PRISM	CID:71496458
PRISM	CID:33630
PRISM	CID:135398492
PRISM	CID:5330286
PRISM	CID:54671203
PRISM	CID:9889366
PRISM	CID:9850878
PRISM	CID:6741
PRISM	CID:25150857
PRISM	CID:54575456
PRISM	CID:6442177
PRISM	CID:5329006
PRISM	CID:454216
PRISM	CID:11609955
PRISM	CID:135402864
PRISM	CID:56208
PRISM	CID:441145
PRISM	CID:197690
PRISM	CID:9864378
PRISM	CID:446155
PRISM	CID:5534
PRISM	CID:11314340
PRISM	CID:4116
PRISM	NAME:PTC209
PRISM	CID:11712649
PRISM	CID:7099
PRISM	CID:3149
PRISM	CID:20916937
PRISM	CID:4195
PRISM	CID:54684141
PRISM	CID:10231331
PRISM	CID:4642
PRISM	CID:68827
PRISM	CID:7019
PRISM	CID:46209401
PRISM	CID:451668
PRISM	CID:17756796
PRISM	CID:11234049
PRISM	CID:3610
PRISM	CID:11955855
PRISM	CID:49836020
PRISM	CID:135565635
PRISM	CID:3601086
PRISM	CID:11249084
PRISM	CID:3085092
PRISM	CID:969516
PRISM	CID:379077
PRISM	CID:11222830
PRISM	CID:4178
PRISM	CID:4877
PRISM	CID:5723
PRISM	CID:24901704
PRISM	CID:439284
PRISM	CID:23635314
PRISM	CID:24360
PRISM	CID:71749648
PRISM	CID:24963252
PRISM	CID:132981
PRISM	CID:123631
PRISM	CID:400769
PRISM	CID:3103157
PRISM	CID:35802
PRISM	CID:24748573
PRISM	CID:11096158
PRISM	CID:16129666
PRISM	CID:71384
PRISM	CID:10099206
PRISM	CID:4521392
PRISM	CID:25127713
PRISM	CID:44199317
PRISM	CID:72385
PRISM	CID:16739650
PRISM	CID:224859
PRISM	CID:25257557
PRISM	CID:24988881
PRISM	CID:155903746
PRISM	CID:159324
PRISM	CID:9918559
PRISM	CID:44155856
PRISM	CID:4622
PRISM	CID:16747683
PRISM	CID:23662354
