cohort	cohort_label	system	TF	n	skewness	z	p_value	FDR
DEPMAP_LUAD	DepMap cell lines	Cell line	NCOA7	76	0.245628326049288	0.874197619381236	0.382010642268768	0.582214332822365
DEPMAP_LUAD	DepMap cell lines	Cell line	NFATC4	76	0.284248704938519	1.01164855522238	0.311706121155255	0.568405279753701
DEPMAP_LUAD	DepMap cell lines	Cell line	NR3C2	76	0.627403242904555	2.23294450669005	0.0255526040965626	0.13202178783224
DEPMAP_LUAD	DepMap cell lines	Cell line	PHC2	76	0.0152554054226574	0.0542943858213919	0.956700622423152	0.956700622423152
DEPMAP_LUAD	DepMap cell lines	Cell line	WWC2	76	-0.453781488952432	-1.6150201556228	0.106306330112006	0.281064101574014
DEPMAP_LUAD	DepMap cell lines	Cell line	XBP1	76	1.27929500701039	4.55304429909429	5.28751335301527e-06	0.000163912913943473
DEPMAP_LUAD	DepMap cell lines	Cell line	ZBTB18	76	0.819129609401262	2.91530364604437	0.00355342629883876	0.0220312430528003
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF117	76	0.457443849285307	1.62805459157655	0.103513310721634	0.281064101574014
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF141	76	0.499509496137227	1.7777673259633	0.0754420769153489	0.259856042708424
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF19	76	0.151704631308494	0.539920739892118	0.589251694225093	0.69631108272912
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF254	76	-0.383927099045775	-1.36640655986237	0.171811390978955	0.380439508596258
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF281	76	0.19841346465155	0.706158696113748	0.480089453161707	0.64707708904404
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF33A	76	0.963659500260851	3.42968929753283	0.000604272762645115	0.00624415188066619
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF33B	76	-0.222919136513793	-0.793375021477672	0.427559359329829	0.602470006328395
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF341	76	-0.165046003785074	-0.587403032532762	0.556933057623846	0.690596991453569
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF444	76	0.858921733045828	3.05692485203355	0.0022362033069492	0.0173305756288563
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF540	76	0.312688228105204	1.11286555998943	0.265766173350099	0.514921960865816
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF678	76	0.362167300185835	1.28896286813703	0.197410995872867	0.407982724803925
DEPMAP_LUAD	DepMap cell lines	Cell line	ZNF75D	76	0.411366896911505	1.46406551620648	0.143176048176509	0.341419807190136
