cohort	cohort_label	score	TF	n	pearson_r	p_value	FDR	anchor_display_support
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZNF678	183	-0.309867873412647	1.96673630516268e-05	0.000118634445041254	FALSE
GSE41271_LUAD	GSE41271 patients	ImmuneScore	ZNF75D	183	-0.180192645995767	0.0146502254658931	0.0267151170260403	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ABHD14B	183	0.24260346943905	0.000936414123944224	0.00181430236514193	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	CREB3L2	183	-0.200783130343339	0.00642348077680085	0.00995639520404132	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	CREBRF	183	-0.263153116584728	0.000319292610971791	0.000761390072317347	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	CRY2	183	0.152103664632866	0.0398310691956078	0.0493905258025537	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	CSRNP1	183	-0.2579040570857	0.000423843871638945	0.000938511430057664	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	E2F5	183	0.088695725329106	0.232483184756654	0.24851650784332	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ELF3	183	0.428971814541878	1.37171544553741e-09	1.41743929372199e-08	TRUE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ETV1	183	-0.317061124522426	1.22495474484811e-05	4.74669963628643e-05	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	FOXA3	183	0.238868161950565	0.00112803593493272	0.00205700670487732	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	FOXD2	183	0.343878664994161	1.87739281168075e-06	9.69986286035054e-06	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	MAGED2	183	0.310567480858693	1.87923111370534e-05	5.82561645248656e-05	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	MXD4	183	0.156176190842714	0.0347544329174494	0.0448911425183721	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	NCOA7	183	-0.36511191765783	3.7379388552374e-07	2.31752209024719e-06	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	NFATC4	183	0.329085065854282	5.39994402128665e-06	2.39140378085552e-05	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	NR3C2	183	-0.0757277833889571	0.308264326647104	0.318539804202008	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	PHC2	183	-0.118600128917782	0.109809913586677	0.130927204661038	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	WWC2	183	-0.295093410617268	5.00754705241306e-05	0.000141121780568004	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	XBP1	183	-0.188524526034907	0.010594487670307	0.0156394817990246	FALSE
GSE41271_LUAD	GSE41271 patients	TumorPurity	ZBTB18	183	0.247200935027958	0.000741726871625485	0.00153290220135934	FALSE
