analysis_definition	TF	patient_promoter_accessible	PDX_promoter_accessible	cell_line_promoter_accessible	triple_system_promoter_accessible	all_three_system_mean_NES_negative	retained_by_anchor_activity_rule	HC_TF_promoter_activity_definition	exclusion_reason
PRIMARY_anchor_promoter_tcga_cpm1_both	TFCP2L1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	TOX3	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	TP53INP1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	mean_NES_negative_in_patient_PDX_and_cell_line
PRIMARY_anchor_promoter_tcga_cpm1_both	VDR	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	VENTX	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	VSX1	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	WTIP	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	WWC1	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	WWC2	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	XBP1	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZBTB10	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZBTB16	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZBTB18	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZBTB42	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZBTB46	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZFHX2	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZFP2	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZFP57	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZMYND15	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF117	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF141	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF19	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF214	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF239	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF254	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF281	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF33A	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF33B	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF341	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF382	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF396	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF429	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
PRIMARY_anchor_promoter_tcga_cpm1_both	ZNF441	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	promoter_not_open_all_systems
