system	permutation	sample_number	cumulative_consensus_peaks
patient	31	9	138783
patient	31	10	138826
patient	31	11	138839
patient	31	12	138857
patient	31	13	138858
patient	31	14	138862
patient	31	15	138866
patient	31	16	138897
patient	31	17	138897
patient	31	18	138908
patient	31	19	138911
patient	31	20	138914
patient	31	21	138920
patient	31	22	138923
patient	32	1	107640
patient	32	2	121758
patient	32	3	135288
patient	32	4	136167
patient	32	5	137037
patient	32	6	137544
patient	32	7	137889
patient	32	8	138005
patient	32	9	138471
patient	32	10	138655
patient	32	11	138769
patient	32	12	138785
patient	32	13	138791
patient	32	14	138860
patient	32	15	138879
patient	32	16	138918
patient	32	17	138918
patient	32	18	138920
patient	32	19	138922
patient	32	20	138922
patient	32	21	138923
patient	32	22	138923
patient	33	1	127182
patient	33	2	133386
patient	33	3	136659
patient	33	4	137429
patient	33	5	137994
patient	33	6	138150
patient	33	7	138230
patient	33	8	138377
patient	33	9	138563
patient	33	10	138589
patient	33	11	138707
patient	33	12	138717
patient	33	13	138720
patient	33	14	138837
patient	33	15	138886
patient	33	16	138892
patient	33	17	138902
patient	33	18	138915
patient	33	19	138916
patient	33	20	138916
patient	33	21	138923
patient	33	22	138923
patient	34	1	111823
patient	34	2	132977
patient	34	3	136744
patient	34	4	136920
patient	34	5	137435
patient	34	6	137519
patient	34	7	138060
patient	34	8	138238
patient	34	9	138357
patient	34	10	138613
patient	34	11	138709
patient	34	12	138783
patient	34	13	138821
patient	34	14	138825
patient	34	15	138866
patient	34	16	138866
patient	34	17	138903
patient	34	18	138916
patient	34	19	138919
patient	34	20	138919
patient	34	21	138921
patient	34	22	138923
patient	35	1	119684
patient	35	2	126119
patient	35	3	131946
patient	35	4	132905
patient	35	5	133921
patient	35	6	134926
patient	35	7	136499
patient	35	8	136775
patient	35	9	138004
patient	35	10	138541
patient	35	11	138579
patient	35	12	138733
patient	35	13	138788
patient	35	14	138797
patient	35	15	138846
patient	35	16	138858
patient	35	17	138878
patient	35	18	138882
patient	35	19	138893
patient	35	20	138900
patient	35	21	138923
patient	35	22	138923
patient	36	1	123022
patient	36	2	127300
patient	36	3	135064
patient	36	4	135516
patient	36	5	136709
patient	36	6	137232
patient	36	7	137652
patient	36	8	137747
patient	36	9	138484
patient	36	10	138718
patient	36	11	138805
patient	36	12	138814
patient	36	13	138848
patient	36	14	138861
patient	36	15	138871
patient	36	16	138879
patient	36	17	138881
patient	36	18	138892
patient	36	19	138892
patient	36	20	138900
patient	36	21	138903
patient	36	22	138923
patient	37	1	102162
patient	37	2	121027
patient	37	3	130887
patient	37	4	131562
patient	37	5	133889
patient	37	6	134881
patient	37	7	137197
patient	37	8	137382
patient	37	9	137729
patient	37	10	137776
patient	37	11	138365
patient	37	12	138483
patient	37	13	138766
patient	37	14	138860
patient	37	15	138902
patient	37	16	138914
patient	37	17	138914
patient	37	18	138918
patient	37	19	138918
patient	37	20	138922
patient	37	21	138923
patient	37	22	138923
patient	38	1	110233
patient	38	2	118970
patient	38	3	134699
patient	38	4	136932
patient	38	5	137235
patient	38	6	137710
patient	38	7	137772
patient	38	8	138051
patient	38	9	138371
patient	38	10	138394
patient	38	11	138482
patient	38	12	138659
patient	38	13	138829
patient	38	14	138832
patient	38	15	138836
patient	38	16	138851
patient	38	17	138883
patient	38	18	138883
patient	38	19	138891
patient	38	20	138908
patient	38	21	138918
patient	38	22	138923
patient	39	1	107032
patient	39	2	126471
patient	39	3	134337
patient	39	4	136553
patient	39	5	137660
patient	39	6	138010
patient	39	7	138184
patient	39	8	138215
patient	39	9	138653
patient	39	10	138725
patient	39	11	138785
patient	39	12	138867
patient	39	13	138871
patient	39	14	138873
patient	39	15	138877
patient	39	16	138883
patient	39	17	138902
patient	39	18	138915
patient	39	19	138923
patient	39	20	138923
patient	39	21	138923
patient	39	22	138923
patient	40	1	103104
patient	40	2	132351
patient	40	3	136660
patient	40	4	137962
patient	40	5	138293
patient	40	6	138475
patient	40	7	138555
patient	40	8	138617
patient	40	9	138793
patient	40	10	138796
patient	40	11	138802
patient	40	12	138806
patient	40	13	138815
patient	40	14	138828
patient	40	15	138874
patient	40	16	138888
patient	40	17	138891
patient	40	18	138899
patient	40	19	138900
patient	40	20	138905
patient	40	21	138907
patient	40	22	138923
patient	41	1	112011
patient	41	2	122883
patient	41	3	128848
patient	41	4	134966
patient	41	5	136496
patient	41	6	137295
patient	41	7	137551
patient	41	8	138335
patient	41	9	138466
patient	41	10	138595
patient	41	11	138724
patient	41	12	138730
patient	41	13	138733
patient	41	14	138777
patient	41	15	138792
patient	41	16	138811
patient	41	17	138850
patient	41	18	138903
patient	41	19	138910
patient	41	20	138915
patient	41	21	138916
patient	41	22	138923
patient	42	1	105118
patient	42	2	126905
patient	42	3	129350
patient	42	4	133157
patient	42	5	136160
patient	42	6	136331
patient	42	7	137725
patient	42	8	137765
patient	42	9	137987
patient	42	10	138347
patient	42	11	138530
patient	42	12	138619
patient	42	13	138640
patient	42	14	138741
patient	42	15	138743
patient	42	16	138763
patient	42	17	138766
patient	42	18	138784
patient	42	19	138867
patient	42	20	138900
patient	42	21	138913
patient	42	22	138923
patient	43	1	102162
patient	43	2	131082
patient	43	3	134382
patient	43	4	135885
patient	43	5	137241
patient	43	6	137680
patient	43	7	137821
patient	43	8	138000
patient	43	9	138141
patient	43	10	138404
patient	43	11	138634
patient	43	12	138697
patient	43	13	138723
patient	43	14	138728
patient	43	15	138782
patient	43	16	138844
patient	43	17	138861
patient	43	18	138879
patient	43	19	138908
patient	43	20	138921
patient	43	21	138923
patient	43	22	138923
patient	44	1	131866
patient	44	2	134090
patient	44	3	136825
patient	44	4	137275
patient	44	5	137850
patient	44	6	138417
patient	44	7	138485
patient	44	8	138685
patient	44	9	138699
patient	44	10	138777
patient	44	11	138821
patient	44	12	138836
patient	44	13	138845
patient	44	14	138868
patient	44	15	138875
patient	44	16	138881
patient	44	17	138894
patient	44	18	138896
patient	44	19	138899
patient	44	20	138906
patient	44	21	138907
patient	44	22	138923
patient	45	1	107640
patient	45	2	136123
patient	45	3	137030
patient	45	4	137718
patient	45	5	138281
patient	45	6	138608
patient	45	7	138712
patient	45	8	138767
patient	45	9	138815
patient	45	10	138834
patient	45	11	138863
patient	45	12	138893
patient	45	13	138898
patient	45	14	138899
patient	45	15	138900
patient	45	16	138903
patient	45	17	138903
patient	45	18	138905
patient	45	19	138906
patient	45	20	138906
patient	45	21	138913
patient	45	22	138923
patient	46	1	127011
patient	46	2	135790
patient	46	3	136833
patient	46	4	137147
patient	46	5	137798
patient	46	6	137884
patient	46	7	138244
patient	46	8	138314
patient	46	9	138354
patient	46	10	138445
patient	46	11	138663
patient	46	12	138681
patient	46	13	138739
patient	46	14	138782
patient	46	15	138828
patient	46	16	138894
patient	46	17	138909
patient	46	18	138912
patient	46	19	138914
patient	46	20	138917
patient	46	21	138917
patient	46	22	138923
patient	47	1	127011
patient	47	2	132319
patient	47	3	133942
patient	47	4	136183
patient	47	5	136979
patient	47	6	137465
patient	47	7	137614
patient	47	8	137747
patient	47	9	138002
patient	47	10	138048
patient	47	11	138062
patient	47	12	138410
patient	47	13	138503
patient	47	14	138621
patient	47	15	138742
patient	47	16	138745
patient	47	17	138779
patient	47	18	138817
patient	47	19	138835
patient	47	20	138900
patient	47	21	138923
patient	47	22	138923
patient	48	1	110233
patient	48	2	123916
patient	48	3	131992
patient	48	4	135073
patient	48	5	136915
patient	48	6	137662
patient	48	7	137880
patient	48	8	138422
patient	48	9	138682
patient	48	10	138747
patient	48	11	138795
patient	48	12	138835
patient	48	13	138840
patient	48	14	138843
patient	48	15	138889
patient	48	16	138891
patient	48	17	138895
patient	48	18	138903
patient	48	19	138909
patient	48	20	138921
patient	48	21	138923
patient	48	22	138923
patient	49	1	114206
patient	49	2	133270
patient	49	3	136179
patient	49	4	136529
patient	49	5	137873
patient	49	6	138255
patient	49	7	138453
patient	49	8	138576
patient	49	9	138659
patient	49	10	138679
patient	49	11	138691
patient	49	12	138758
patient	49	13	138773
patient	49	14	138813
patient	49	15	138827
patient	49	16	138832
patient	49	17	138849
patient	49	18	138884
patient	49	19	138885
patient	49	20	138897
patient	49	21	138917
patient	49	22	138923
patient	50	1	119684
patient	50	2	132364
patient	50	3	133441
patient	50	4	134505
patient	50	5	134651
patient	50	6	137050
patient	50	7	137205
patient	50	8	137417
patient	50	9	137992
patient	50	10	138143
patient	50	11	138157
patient	50	12	138661
patient	50	13	138725
patient	50	14	138762
patient	50	15	138851
patient	50	16	138873
patient	50	17	138890
patient	50	18	138892
patient	50	19	138905
patient	50	20	138915
patient	50	21	138923
patient	50	22	138923
patient	51	1	107640
patient	51	2	125317
patient	51	3	131578
patient	51	4	135906
patient	51	5	136920
patient	51	6	137925
patient	51	7	138430
patient	51	8	138565
patient	51	9	138706
patient	51	10	138729
patient	51	11	138766
patient	51	12	138778
patient	51	13	138829
patient	51	14	138846
patient	51	15	138869
patient	51	16	138909
patient	51	17	138915
patient	51	18	138921
patient	51	19	138921
patient	51	20	138921
patient	51	21	138923
patient	51	22	138923
patient	52	1	111823
patient	52	2	128631
patient	52	3	131138
patient	52	4	134305
patient	52	5	135361
