system	sample_1	sample_2	pearson_r
patient	TCGA-91-A4BD	TCGA-86-A4D0	0.430669470104555
patient	TCGA-91-A4BD	TCGA-86-A4P7	0.777008552425253
patient	TCGA-91-A4BD	TCGA-86-A4P8	0.874932059843308
patient	TCGA-91-A4BD	TCGA-91-A4BC	0.675885262145542
patient	TCGA-91-A4BD	TCGA-91-A4BD	1.0
patient	TCGA-91-A4BD	TCGA-93-A4JN	0.780794492441896
patient	TCGA-91-A4BD	TCGA-93-A4JO	0.799706222528824
patient	TCGA-91-A4BD	TCGA-93-A4JQ	0.738581157910866
patient	TCGA-91-A4BD	TCGA-L4-A4E6	0.767086867325051
patient	TCGA-91-A4BD	TCGA-L9-A8F4	0.782573454722414
patient	TCGA-91-A4BD	TCGA-MP-A4SV	0.740090358754274
patient	TCGA-91-A4BD	TCGA-MP-A4T4	0.721660674828258
patient	TCGA-91-A4BD	TCGA-MP-A4T7	0.696558660157316
patient	TCGA-91-A4BD	TCGA-MP-A4TE	0.580561088477027
patient	TCGA-91-A4BD	TCGA-MP-A4TF	0.706934578336654
patient	TCGA-91-A4BD	TCGA-NJ-A4YG	0.848674840367642
patient	TCGA-93-A4JN	TCGA-44-3918	0.716873399781498
patient	TCGA-93-A4JN	TCGA-44-6146	0.717726884348533
patient	TCGA-93-A4JN	TCGA-44-A47F	0.63033124690482
patient	TCGA-93-A4JN	TCGA-49-AARO	0.734323397459417
patient	TCGA-93-A4JN	TCGA-4B-A93V	0.589326981429314
patient	TCGA-93-A4JN	TCGA-73-A9RS	0.622057170659699
patient	TCGA-93-A4JN	TCGA-86-A4D0	0.423407312502828
patient	TCGA-93-A4JN	TCGA-86-A4P7	0.794380416382075
patient	TCGA-93-A4JN	TCGA-86-A4P8	0.814831721806313
patient	TCGA-93-A4JN	TCGA-91-A4BC	0.701391325032506
patient	TCGA-93-A4JN	TCGA-91-A4BD	0.780794492441896
patient	TCGA-93-A4JN	TCGA-93-A4JN	1.0
patient	TCGA-93-A4JN	TCGA-93-A4JO	0.827052617908073
patient	TCGA-93-A4JN	TCGA-93-A4JQ	0.766276230747433
patient	TCGA-93-A4JN	TCGA-L4-A4E6	0.769553180138596
patient	TCGA-93-A4JN	TCGA-L9-A8F4	0.791927029474171
patient	TCGA-93-A4JN	TCGA-MP-A4SV	0.767587627594112
patient	TCGA-93-A4JN	TCGA-MP-A4T4	0.714989593924572
patient	TCGA-93-A4JN	TCGA-MP-A4T7	0.754374523574698
patient	TCGA-93-A4JN	TCGA-MP-A4TE	0.558344515011571
patient	TCGA-93-A4JN	TCGA-MP-A4TF	0.740553748712765
patient	TCGA-93-A4JN	TCGA-NJ-A4YG	0.794537400189352
patient	TCGA-93-A4JO	TCGA-44-3918	0.756329654331309
patient	TCGA-93-A4JO	TCGA-44-6146	0.754630110752605
patient	TCGA-93-A4JO	TCGA-44-A47F	0.64539981772355
patient	TCGA-93-A4JO	TCGA-49-AARO	0.753601730133277
