analysis_definition	system	sample_id	TF	promoter_accessible
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	HNF1B	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	HNF4G	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	HOPX	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	HOXD1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	IKZF4	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	IL4	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	INSM2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	IRF7	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	IRX3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	JADE1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	KANK2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	KAT2B	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	KLF2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	KLF9	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	LHX9	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	LIMD1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	LMO3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	LPIN2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	LYL1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MAGEC3	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MAGED2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MAGEE2	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MDFIC	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MEF2C	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MEF2D	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MEIS3P1	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MEIS3P2	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MESP1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MITF	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MLLT3	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MLLT6	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MSANTD1	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MXD4	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MYRF	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	MYRFL	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NANOGP1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NCOA7	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NEUROG3	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NFATC2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NFATC4	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NFE2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NKX2-1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NOTO	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NR0B2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NR1H4	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NR2F1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NR2F6	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	NR3C2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	OLIG1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	ONECUT1	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	PHC2	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	POU1F1	FALSE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	PPARGC1A	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	PRDM16	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	PRDM8	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	RARA	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	RORB	TRUE
PRIMARY_anchor_promoter_tcga_cpm1_both	patient	TCGA-44-6146	RORC	TRUE
