TF	NES	p_value	FDR	regulon_size
BRMS1L	-0.245792342550993	0.805842985019223	0.969911984135431	7
BRPF1	0.184968056479912	0.85325409044897	0.994553520833191	57
BRPF3	3.31297457386994	0.000923093713560332	0.0193395427209346	53
BRWD1	0.74195820783927	0.458112657018536	0.784220132389787	19
BRWD3	-0.875270022664316	0.381427001031056	0.731494513920474	54
BSX	-1.70967287556705	0.087326381252197	0.294206056504679	2
BTBD18	0.215346205015643	0.82949740816262	0.977505769565311	5
CALCOCO1	1.87155459708318	0.0612682497890349	0.22707254766424	67
CAMTA1	0.0825078047692398	0.934242912189337	0.999927879915109	56
CAMTA2	0.58674152955105	0.557377311501203	0.858292669857681	121
CARF	2.62481935740359	0.00866949487450641	0.0545159697716627	66
CASZ1	-0.300582146479927	0.763733147271474	0.955453869928816	24
CBFA2T2	-2.87079951079992	0.00409435115763229	0.0323440857858591	32
CBFA2T3	-0.222281545060533	0.824094717669538	0.97625865389392	37
CBFB	-1.12270815954591	0.261561461434759	0.600932968605258	23
CBX1	-2.52824947882299	0.0114632863590255	0.0659549541802957	93
CBX2	-1.74912410023246	0.0802695701704919	0.27590584218194	38
CBX3	0.453335734260852	0.650307005079717	0.902600240934727	80
CBX4	0.32038836160905	0.748673947043469	0.952574802621167	20
CBX5	0.311558461292963	0.755376106959802	0.952760818326182	42
CBX7	0.855538186202294	0.392253273732346	0.743665248879089	96
CBX8	0.979541186342585	0.327312648701914	0.672282374542719	48
CC2D1A	-1.02709185100014	0.304377215489998	0.652283296375577	63
CC2D1B	1.10104688303437	0.270876253012934	0.609985371302583	25
CCAR1	-0.396736233604474	0.691561977757873	0.922082637010497	25
CCAR2	-0.500830624663051	0.61649033066707	0.893719325400208	23
CCDC62	0.148770782518726	0.881734506207156	0.999927879915109	8
CCDC85B	-0.202281611168657	0.839696574985616	0.986029662322291	85
CCNC	-1.40196502288448	0.160925691713771	0.446941616820543	75
CCNK	-3.17712568784095	0.00148742558495599	0.0217633093901877	33
CCNL1	-2.65928831817032	0.00783059199741012	0.0503871436974661	77
CCNL2	0.513893853315672	0.607326205191162	0.89210754939565	113
CCNT1	-1.5827229395705	0.113484627414044	0.350041677184947	116
CCNT2	0.500587723621344	0.616661304057283	0.893719325400208	31
CD40	0.319530358638679	0.749324374118217	0.952574802621167	51
CDC5L	0.368774830998811	0.712295566413889	0.935441136271477	51
CDC73	0.429773796623919	0.667360195680942	0.910985229726263	87
CDK12	0.112398789442522	0.910507215131339	0.999927879915109	22
CDK13	0.754585175140823	0.450497921527962	0.778476589391311	35
CDK14	-0.495964107766757	0.61991973438603	0.893719325400208	31
CDK15	1.05061893731964	0.293433639945183	0.640831146493411	81
CDK16	-1.3940999473341	0.16328742510013	0.451626927825154	53
CDK17	-1.77403209719555	0.0760578412717676	0.265607209171668	23
CDK18	-0.132023435123818	0.894965755447998	0.999927879915109	42
CDK5	-0.0913976020853284	0.92717666703499	0.999927879915109	44
CDK5RAP2	-1.99492601530835	0.0460509496598617	0.185683347222896	50
CDK7	1.2797445083927	0.20063500568734	0.509379327072831	52
CDX1	-1.13612756519081	0.255903180054738	0.595427097972091	37
CDX2	-0.149822741624098	0.880904466649059	0.999927879915109	12
CDX4	0.0114816663188249	0.990839156989307	0.999927879915109	3
CEBPA	-0.779100778826337	0.435920351392348	0.767831636487575	11
CEBPB	0.00678813466267872	0.994583893750617	0.999927879915109	19
CEBPD	1.291614056216	0.196490833787334	0.502616043624161	4
CEBPE	-0.279395649494796	0.779941209405607	0.963174630065472	7
CEBPG	-2.91678867483651	0.00353655293673379	0.0294663829749438	55
CHCHD2	-0.0624880271066139	0.950174196291885	0.999927879915109	140
CHCHD2P9	-0.313243231753416	0.754095875710093	0.952760818326182	91
CHD1	0.566824837366537	0.57083319413325	0.869519348422143	34
CHD2	3.21096207381976	0.00132291393191675	0.0217633093901877	42
CHD3	-0.774044443427089	0.438904509618711	0.771058841044945	26
CHD4	0.493619303047364	0.621575065705128	0.893719325400208	10
CHD5	-0.594786660903159	0.551986085103401	0.85494942205379	11
CHD6	-3.15201765626751	0.00162146468350821	0.0221956914311769	58
CHD8	-0.537927818292633	0.590626882354505	0.882886835895205	3
CHUK	1.39264067248499	0.163728477299007	0.451863131504917	78
CIART	-3.41800744618994	0.000630813810994593	0.0193395427209346	17
CIC	-0.730612244362605	0.465016030925523	0.788955270971929	89
CIITA	1.33056124457457	0.183333421766869	0.480592050793568	128
CIPC	1.17378591633234	0.240480786528266	0.572817816546569	21
CIR1	1.87236776872397	0.061155740972391	0.22707254766424	43
CLOCK	2.17283519120089	0.0297927236444309	0.134473848577533	96
COMMD7	1.45315611766113	0.146180412934683	0.416380831931405	22
CREB1	-0.550753052632874	0.581802971028519	0.877731304151214	24
CREB3	1.15171964876031	0.249436295405034	0.587130355555029	13
CREB3L1	3.11528736216834	0.00183765788765954	0.0221956914311769	92
CREB3L2	3.50525322083282	0.000456173185545627	0.0193395427209346	45
CREB3L3	0.784473887694512	0.43276209804675	0.767831636487575	2
CREB3L4	3.07663431488076	0.00209351960210781	0.0237502110792795	56
CREB5	-1.58141970393666	0.113782105130769	0.350420961813779	13
CREBBP	-0.715463026270434	0.474322979618862	0.796354969125982	13
CREBL2	3.0002610235127	0.0026974833356386	0.0262939152328268	149
CREBRF	1.63507257629245	0.102033834245056	0.324183448044419	37
CREBZF	-0.260344533634558	0.794598023718732	0.967654585810038	19
CREM	-0.504937590309524	0.613602670972436	0.893719325400208	10
CRTC1	0.4054376025474	0.685155875555399	0.91977763756208	73
CRTC2	-0.529727680418051	0.596300753231303	0.884975545076464	55
CRTC3	0.143492474263447	0.885901254413875	0.999927879915109	45
CRX	-0.0745360230239445	0.940583878644987	0.999927879915109	6
CRY1	1.37161906981179	0.170182054132588	0.463671051150931	36
CRY2	2.51465771323892	0.011914799819392	0.0675845142297718	184
CSRNP1	1.51454056577235	0.129888793339501	0.386968393213232	39
CSRNP2	1.38964883018479	0.16463554017174	0.453481707359196	20
CSRNP3	-0.961871317497311	0.336114248025941	0.684500415858102	4
CTBP1	0.910075795000787	0.362782538691401	0.715586775729208	91
CTBP2	3.15281479614373	0.00161704364325776	0.0221956914311769	49
CTCF	-0.998867883020828	0.31785869632541	0.663472206051375	26
CTCFL	-1.11703556499791	0.263979118942616	0.602883146244533	6
CTNNB1	2.02695921687349	0.0426665836673707	0.177013429760497	12
CTR9	0.61644228773462	0.53760265080173	0.84982523528182	34
CUX1	1.38747734345985	0.16529625508144	0.454055923671042	11
CUX2	0.2160356722349	0.828959941631008	0.977505769565311	38
CXXC1	-0.697831670543744	0.485282470383738	0.802762273414172	64
CYTL1	0.797844538163807	0.42496071171938	0.767831636487575	25
DACH2	0.791074699890656	0.428900401946968	0.767831636487575	8
DAXX	-1.71099182589287	0.0870826217960804	0.294206056504679	26
DBP	-0.437362098735575	0.66184876642754	0.907161995212628	16
DBX1	-0.852175048938424	0.394116942882231	0.745887673239887	8
DBX2	-0.49806265900907	0.618439878691111	0.893719325400208	7
DCAF6	-0.109125915485617	0.913102620048707	0.999927879915109	50
DDIT3	-3.18365392434433	0.00145428769634826	0.0217633093901877	37
DEAF1	0.76139201861363	0.446422953223293	0.775447482761567	21
DHX33	-2.87245948919676	0.00407290294415763	0.0323440857858591	38
DHX9	-1.68525601928682	0.0919391871679611	0.304643379262815	79
DLX1	-3.1322209174516	0.00173489279097989	0.0221956914311769	38
DLX2	-3.45901843562011	0.000542147795033875	0.0193395427209346	47
DLX3	1.92582698696213	0.0541259805616798	0.209204181515804	21
DLX4	2.98397602749561	0.00284529063009861	0.0264506647464722	22
DLX5	-3.49145656101781	0.00048039457506296	0.0193395427209346	101
DLX6	-3.49182821080769	0.000479726678910547	0.0193395427209346	149
DMAP1	-0.158911623165135	0.873738503103589	0.999927879915109	33
DMBX1	0.286926875453093	0.774168311669899	0.960147004663638	8
