dataset	source_drug_id	drug_name	canonical_drug	pubchem_cid	inchikey	target	pathway_or_moa
PRISM	Triamcinolone acetonide	Triamcinolone acetonide	CID:6436	6436	YNDXUCZADRHECN-JNQJZLCISA-N	NR3C1	glucocorticoid receptor agonist, immunosuppressant
PRISM	Triamterene	Triamterene	CID:5546	5546	FNYLWPVRPXGIIP-UHFFFAOYSA-N	SCNN1A, SCNN1B, SCNN1D, SCNN1G	sodium channel blocker
PRISM	Triapine	Triapine	CID:9571836	9571836	XMYKNCNAZKMVQN-NYYWCZLTSA-N	RRM1, RRM2	ribonucleotide reductase inhibitor
PRISM	Trichostatin.A	Trichostatin.A	INCHI:RTKIYFITIVXBLE-WKWSCTOISA-N		RTKIYFITIVXBLE-WKWSCTOISA-N	HDAC1, HDAC10, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9	HDAC inhibitor
PRISM	Triciribine	Triciribine	CID:65399	65399	HOGVTUZUJGHKPL-HTVVRFAVSA-N	AKT1, AKT2, AKT3	AKT inhibitor
PRISM	Triclabendazole	Triclabendazole	CID:50248	50248	NQPDXQQQCQDHHW-UHFFFAOYSA-N	DNMT1	microtubule inhibitor
PRISM	Trifluridine	Trifluridine	CID:6256	6256	VSQQQLOSPVPRAZ-RRKCRQDMSA-N	TYMS	DNA directed DNA polymerase inhibitor, thymidylate synthase inhibitor
PRISM	Trimebutine	Trimebutine	CID:5573	5573	LORDFXWUHHSAQU-UHFFFAOYSA-N	OPRD1, OPRK1, OPRM1	opioid receptor agonist
PRISM	Triptolide	Triptolide	CID:107985	107985	DFBIRQPKNDILPW-CIVMWXNOSA-N	RELA	RNA polymerase inhibitor
PRISM	Trolox	Trolox	CID:40634	40634	GLEVLJDDWXEYCO-UHFFFAOYSA-N		antioxidant
PRISM	2-Amino-2-hydroxymethyl-propane-1,3-diol	2-Amino-2-hydroxymethyl-propane-1,3-diol	CID:6503	6503	LENZDBCJOHFCAS-UHFFFAOYSA-N	AMD1, CANT1, DCN, NEIL1, VEGFA	
PRISM	Tropisetron	Tropisetron	CID:656665	656665	ZNRGQMMCGHDTEI-FUNVUKJBSA-N	GLRA1, GLRA2, GLRB, HTR3A, HTR4	serotonin receptor antagonist
PRISM	Trovafloxacin	Trovafloxacin	CID:62959	62959	WVPSKSLAZQPAKQ-SOSAQKQKSA-N	TOP2A	bacterial DNA gyrase inhibitor
