TF	NES	p_value	FDR	regulon_size
THRB	0.393627141444241	0.693856339732339	0.817288469252946	61
TLX1	-1.81774226660141	0.0691035343875509	0.174120481966661	74
TLX2	-3.24160931498765	0.00118856840223073	0.0145694550174756	84
TLX3	-2.30383660042674	0.0212318177160853	0.0798534908954238	34
TNF	0.740717787515383	0.458864571936931	0.620103642128772	101
TNIP1	2.19564961870905	0.0281170318283932	0.0981202227720506	96
TNIP2	0.0440910484782418	0.964831828126774	0.980648743341967	77
TNIP3	0.309598943297694	0.756865959963505	0.856497651595869	125
TOX	2.49328354605488	0.0126567728027354	0.0562951242486883	49
TOX2	-1.56579713613783	0.117396116913043	0.248389302175891	56
TOX3	3.73762500070322	0.00018576673901393	0.0111506849976282	194
TOX4	0.420004843914499	0.674481915097787	0.804189975693515	53
TP53	-2.48525898281176	0.0129457215703672	0.0566829413335169	35
TP53BP1	-0.199000733353985	0.842262170933303	0.909856600701973	34
TP53INP1	2.73042143853741	0.00632534070491709	0.0335961339462268	107
TP53INP2	0.619894581348734	0.535327193464329	0.689288507129022	45
TP63	-3.96577406446483	7.31581370302798e-05	0.0111506849976282	831
TP73	-3.24744738919334	0.00116445190050247	0.0145272474904149	62
TPRX1	0.0816826616970884	0.934899066241905	0.967528320450652	335
TRERF1	-1.88730090988479	0.0591198641436539	0.157454102114719	30
TRIM27	2.08129238008748	0.0374071522031409	0.116847379248284	52
TRIM28	-2.56891660370896	0.0102017005315594	0.0486542640735912	61
TRIM45	-2.87735269226346	0.00401027097908544	0.0244617331085836	142
TRIM56	2.12177700672014	0.0338564683872176	0.10995291161944	47
TRIP4	-0.942889722479584	0.345737312347441	0.50904880469175	64
TRO	-3.10285678860853	0.00191662363530474	0.0176723542967676	145
TRPS1	-2.92439497777589	0.00345126517184999	0.0232286443584664	42
TRRAP	-0.703547594649848	0.481714556936683	0.641988693589765	38
TSHZ1	0.813181320385222	0.416114107545424	0.580347282916112	27
TSHZ2	-3.63341992464616	0.000279689273955296	0.0111506849976282	54
TSHZ3	-2.19517821132467	0.0281508166017565	0.0981202227720506	106
TWIST1	-2.546775560241	0.0108723334366141	0.0505563504802554	70
TWIST2	-1.52824765258398	0.12645106149717	0.260018966656493	73
UBP1	-0.0764250388886981	0.939080949704471	0.968915594097503	49
UBTF	-1.91594540894242	0.0553720447266071	0.152568436312684	22
UBTFL1	-3.05476538841759	0.00225236640445372	0.0190966101322193	213
UBTFL6	-0.206091684744277	0.836719293966728	0.907366722667289	341
URI1	-2.40111928825116	0.0163450072645024	0.0667699489554629	25
USF1	1.17412806165599	0.240343735035755	0.398172697881096	112
USF2	-1.86835125992849	0.0617131260346117	0.161878276752328	68
UTP15	-0.826171598548685	0.408706756917933	0.573928637374118	63
UXT	-0.388731274568029	0.697474944649608	0.819192730627495	278
