component	eligibility_required	anchor_program	left_run	left_k	left_program	right_run	right_k	right_program	expected_right_program	connects_expected_program	cosine	top_gene_jaccard	cosine_null_q99	jaccard_null_q99	exceeds_both_nulls	component_pass	source_file
adjacent_K11_descriptive	False	6	seed_20260812	10.0	6.0	seed_20260812	11.0	5.0		True	0.9998936001551852	1.0	0.0421526941309638	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cross_seed	True	7	seed_20260812	10.0	7.0	seed_20260813	10.0	7.0		True	0.9999877505663988	1.0	0.0415525974274892	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
cell_resample	True	7	seed_20260812	10.0	7.0	cell_resample_20260813	10.0	5.0		True	0.9455910526833256	0.639344262295082	0.0445423284711832	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_A	True	7	seed_20260812	10.0	7.0	patient_holdout_A	10.0	6.0		True	0.897246413294889	0.4492753623188406	0.0393141266082818	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
holdout_B	True	7	seed_20260812	10.0	7.0	patient_holdout_B	10.0	10.0		True	0.1772951436530252	0.0204081632653061	0.0303334754263743	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
exclude_high_unresolved	True	7	primary_seed_20260812	10.0	7.0	exclude_high_unresolved	10.0	6.0		True	0.9940323527784608	0.8867924528301887	0.0390430173505663	0.0102040816326529	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
include_one_method	True	7	primary_seed_20260812	10.0	7.0	include_one_method	10.0	6.0		True	0.9097120496800408	0.4705882352941176	0.0355291457260045	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_sensitivity_v1/P0_cnmf_sensitivity_same_k_pairs.tsv
holdout_A_to_B_bridge	True	7	patient_holdout_A	10.0	6.0	patient_holdout_B	10.0	10.0	10.0	True	0.1798638811311177	0.0204081632653061	0.0286751484030765	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K9_descriptive	False	7	seed_20260812	9.0	8.0	seed_20260812	10.0	7.0		True	0.9976957987153416	0.9607843137254902	0.043335381820764	0.0101010101010101	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
adjacent_K11_descriptive	False	7	seed_20260812	10.0	7.0	seed_20260812	11.0	7.0		True	0.9992540636418332	0.9230769230769232	0.0421526941309638	0.0204081632653061	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/hcc-sc-spatial-npj-2026/phase-zero/outputs/formal_cnmf_v1/stability/P0_cnmf_stability.tsv
